spins,time,fidelity,gamma,optimum_gamma
90,39.800000000000296,0.8967217264565,0.1251135791201573,0.1251135791201573
150,56.90000000000054,0.8946273453372522,0.1116554091595433,0.1116554091595433
210,73.90000000000008,0.9040945010630888,0.1040656827064963,0.1040656827064963
270,80.29999999999971,0.8984602201516348,0.0989654507687355,0.0989654507687355
330,86.39999999999937,0.8588920385231215,0.0952054465854849,0.0952054465854849
390,97.59999999999872,0.8313645299694329,0.0922690728269012,0.0922690728269012
450,102.69999999999844,0.8011879898536666,0.0898838404620844,0.0898838404620844
510,118.69999999999752,0.8114695931924514,0.0878900625033725,0.0878900625033725
540,120.59999999999742,0.8054910230169363,0.0870069475862737,0.0870069475862737
570,122.39999999999732,0.7973835834612382,0.086186868299274,0.086186868299274
600,124.09999999999722,0.7877072926825681,0.0854222753007057,0.0854222753007057
630,125.89999999999712,0.7769260828304063,0.0847068488192562,0.0847068488192562
660,127.799999999997,0.7654631814671299,0.0840352505458073,0.0840352505458073
690,130.59999999999687,0.7538538307574332,0.0834029343671661,0.0834029343671661
720,137.1999999999965,0.7455548037711578,0.0828060000840463,0.0828060000840463
750,139.19999999999638,0.73725330544535,0.0822410789998896,0.0822410789998896
800,142.0999999999962,0.7225987498429909,0.0813629014400488,0.0813629014400488
10,7.39999999999999,0.8436823708687431,0.1461994700101245,0.1461994700101245
50,15.99999999999996,0.8001173671079407,0.1108664244891862,0.1108664244891862
70,19.70000000000001,0.8309957187909772,0.104232171594154,0.104232171594154
110,24.00000000000007,0.8846278846273175,0.0961253907189219,0.0961253907189219
130,25.60000000000009,0.8939179804575462,0.0933611951475315,0.0933611951475315
170,28.30000000000013,0.8907656033572048,0.089174239171379,0.089174239171379
190,29.50000000000015,0.8828302122433657,0.0875261474359935,0.0875261474359935
230,31.800000000000185,0.8616782310461081,0.0848102940694609,0.0848102940694609
250,33.1000000000002,0.8507070177535492,0.0836691810627864,0.0836691810627864
290,40.80000000000031,0.8670854306343346,0.0817019190291203,0.0817019190291203
310,41.900000000000325,0.8811202744955475,0.0808438697326328,0.0808438697326328
350,43.70000000000035,0.9018275604116438,0.0793223685664721,0.0793223685664721
370,44.50000000000036,0.908816733899313,0.0786424792226666,0.0786424792226666
410,45.90000000000038,0.9172572058904808,0.0774134849282658,0.0774134849282658
430,46.60000000000039,0.9191769041889826,0.0768549077901622,0.0768549077901622
470,48.00000000000041,0.9194172910511884,0.0758310017925734,0.0758310017925734
490,48.60000000000042,0.9181041656369888,0.075359763208022,0.075359763208022
520,49.50000000000043,0.9147348060142408,0.0746969599290684,0.0746969599290684
530,49.90000000000044,0.9133087774824674,0.0744867487558544,0.0744867487558544
550,50.50000000000045,0.9101110567567052,0.074081060184856,0.074081060184856
560,50.80000000000045,0.9083594960761472,0.0738851790875839,0.0738851790875839
580,51.50000000000046,0.9046264989092436,0.0735064205944761,0.0735064205944761
590,51.80000000000047,0.9026829149465024,0.0733232052086101,0.0733232052086101
610,52.50000000000048,0.8987097699326995,0.0729683260707654,0.0729683260707654
620,52.90000000000048,0.8967276807292325,0.0727963767518444,0.0727963767518444
640,53.900000000000496,0.8929277475472402,0.0724628001484071,0.0724628001484071
650,54.5000000000005,0.891239125042391,0.0723009295958072,0.0723009295958072
670,59.60000000000058,0.8929351804667494,0.0719864609238282,0.0719864609238282
680,60.10000000000058,0.8946871250731355,0.071833654017235,0.071833654017235
760,58.30000000000056,0.8516315872726528,0.08205936876627253,0.08205936876627253
