time,phonons
1.5445305087257947e-06,"[0.9998546353961744, 0.00014536408407071498, 4.149617048955298e-10, 1.101927340257635e-13]"
1.5682119321740934e-06,"[0.9998504499050848, 0.0001495497291175319, 2.5945138472153754e-10, 1.1801095991730572e-13]"
1.5921518212328536e-06,"[0.9998458894470773, 0.00015411019940717662, 2.4545002165906235e-10, 1.2176119690609613e-13]"
1.6160012879090283e-06,"[0.99984095377089, 0.00015904567701510632, 4.423673706015924e-10, 1.2984443905430152e-13]"
1.6401121108245473e-06,"[0.9998363087871405, 0.00016369071453720667, 3.86746974594738e-10, 1.41342787751454e-13]"
1.6634745258676847e-06,"[0.9998318750054965, 0.00016812465067598815, 2.308899555438967e-10, 1.4721237224125435e-13]"
1.6875383471420652e-06,"[0.9998267668154968, 0.00017323268261227527, 3.871451791568987e-10, 1.5296601137425924e-13]"
1.7114858139816825e-06,"[0.9998216896355149, 0.00017830974091472928, 5.07091365665996e-10, 1.6579480892374656e-13]"
1.7351620596279047e-06,"[0.9998170339055289, 0.0001829656638283148, 3.1261126881149344e-10, 1.7629783786609725e-13]"
1.759133060613844e-06,"[0.999811975999521, 0.00018802357695021362, 3.0375543070435164e-10, 1.8134994672412264e-13]"
1.7829085859680801e-06,"[0.999806581554546, 0.00019341778339422835, 5.406698941223387e-10, 1.9227798454544857e-13]"
1.8070182137247215e-06,"[0.9998014640224245, 0.00019853539066678845, 4.636679347266722e-10, 2.0761878119960033e-13]"
1.8303963683574435e-06,"[0.9997965538019432, 0.00020344579469867374, 2.7874452355600136e-10, 2.1535328302978038e-13]"
1.8544618743480098e-06,"[0.999790957510486, 0.00020904189010216036, 4.729871042781208e-10, 2.2307478080310738e-13]"
1.8784060363057748e-06,"[0.9997854122486184, 0.00021458701539821837, 6.078231251830345e-10, 2.400778064508842e-13]"
1.9020763361572964e-06,"[0.9997802877029117, 0.00021971179719842805, 3.7017775085147906e-10, 2.537952264451519e-13]"
1.926070174409705e-06,"[0.999774735619077, 0.00022526388071007801, 3.6874127368015936e-10, 2.604152650018181e-13]"
1.949763729762107e-06,"[0.999768889232358, 0.00023110998598756385, 6.486158704116823e-10, 2.7477350159246344e-13]"
1.9738683365740492e-06,"[0.9997633006292597, 0.0002366986887923993, 5.47057313511864e-10, 2.947143600437544e-13]"
1.9972611087660887e-06,"[0.9997579158790606, 0.00024208365347986845, 3.311856129317132e-10, 3.0466426616071236e-13]"
2.021328675017445e-06,"[0.9997518343024296, 0.0002481649920359668, 5.674452747341194e-10, 3.147523386820724e-13]"
2.045271243715719e-06,"[0.9997458215413324, 0.00025417760170727636, 7.171322413368306e-10, 3.3673723727948655e-13]"
2.068935867339188e-06,"[0.9997402295876807, 0.0002597698385949562, 4.323438966260351e-10, 3.54252213625523e-13]"
2.0929449375528844e-06,"[0.9997341875795728, 0.0002658118371105604, 4.4016447280204255e-10, 3.627286336097671e-13]"
2.1166318830169325e-06,"[0.9997278747007776, 0.00027212438794501807, 7.665577017893453e-10, 3.8122156211599065e-13]"
2.1407318397980254e-06,"[0.9997218170283815, 0.00027818218909225935, 6.35952400263261e-10, 4.06572342648587e-13]"
2.16413946171614e-06,"[0.9997159584275336, 0.00028404103628098826, 3.882175060917269e-10, 4.190875423524661e-13]"
2.1882085262686847e-06,"[0.9997093935043742, 0.000290605674355538, 6.714832804361544e-10, 4.320058698687109e-13]"
2.212149586666156e-06,"[0.9997029154929833, 0.00029708352097341677, 8.345121548841695e-10, 4.598653864317101e-13]"
2.235806546608864e-06,"[0.9996968584516567, 0.00030314089691828945, 4.983419301655907e-10, 4.817666190826294e-13]"
2.259826740253112e-06,"[0.999690328715604, 0.000309670610678646, 5.188521194752637e-10, 4.924096599185154e-13]"
2.2835701319073445e-06,"[0.9996835341040192, 0.00031646484456640284, 8.949411069413899e-10, 5.158743426666493e-13]"
2.3076645236260807e-06,"[0.9996770107810885, 0.0003229883316057104, 7.28976197477152e-10, 5.474779180100541e-13]"
2.3310887714969945e-06,"[0.99967067770544, 0.00032932168484677525, 4.499772047117233e-10, 5.62886631203992e-13]"
2.3551580165686705e-06,"[0.9996636308995877, 0.00033636815242127295, 7.864321332972498e-10, 5.791889765549903e-13]"
2.3790972117568866e-06,"[0.9996566911906399, 0.0003433076869105902, 9.59140982019553e-10, 6.139106466502996e-13]"
2.4027424088135052e-06,"[0.999650172236872, 0.0003498270310930776, 5.671768764421982e-10, 6.407598842089611e-13]"
2.426770339976894e-06,"[0.9996431557849834, 0.0003568434423509224, 6.060176650077397e-10, 6.53903384256022e-13]"
2.45056634119774e-06,"[0.9996358810375849, 0.0003641177604326433, 1.0336864519589106e-09, 6.832485517164679e-13]"
2.474649923024867e-06,"[0.999628896616293, 0.0003711023879618104, 8.255938766110069e-10, 7.219781393071255e-13]"
2.498092806742551e-06,"[0.9996220886044007, 0.0003779107073183553, 5.167092136622011e-10, 7.406085082058195e-13]"
2.5221611410763784e-06,"[0.999614561940418, 0.00038543697358445634, 9.125996767114217e-10, 7.609181583863386e-13]"
2.546099425346753e-06,"[0.9996071636145938, 0.0003928351197808145, 1.0904708825969991e-09, 8.03566063636564e-13]"
2.569729315969392e-06,"[0.9996001859877859, 0.00039981319687866474, 6.386352264794221e-10, 8.359225680920613e-13]"
