time,leakage
0.0005023205053814464,0.0038108550545080276
0.0005023433005461232,0.0038022933010197243
0.0005023664286020549,0.003793566788922614
0.000502390293747188,0.0037845184900791567
0.0005024134911116322,0.0037756711983391307
0.0005024354641562928,0.0037672486780135923
0.0005024594232078165,0.0037580264029362554
0.0005024804808354509,0.003749881085448829
0.0005025004005597021,0.0037421372300884773
0.0005025220804568769,0.0037336737270494674
0.0005025459633910157,0.0037243128019445754
0.0005025697999417702,0.003714921140596612
0.0005025926136436687,0.0037058848678318194
0.0005026157529205055,0.0036966825612995335
0.0005026396267166393,0.003687147280541382
0.0005026628056703714,0.003677840402692699
0.0005026847509008367,0.00366898949087972
0.0005027087363939079,0.0036592799579740817
0.0005027298383607801,0.0036507002404113763
0.0005027497053781542,0.00364258636275335
0.0005027713748641521,0.0036337034701583813
0.0005027952805315815,0.0036238692771692112
0.0005028191021506709,0.0036140239114928513
0.0005028419362837211,0.003604542054784064
0.0005028650880402579,0.0035948940164452145
0.0005028889450513404,0.0035849142377204725
0.0005029121055070452,0.003575179949264426
0.000502934027695066,0.0035659295717036313
0.0005029580174014686,0.003555773963515268
0.0005029791408783467,0.0035467968845500734
0.0005029989855171068,0.0035383294749816684
0.0005030206486412963,0.003529055836747346
0.0005030445540614318,0.0035187906216410892
0.0005030683544859032,0.0035085281120564413
0.0005030911907555064,0.003498639906400051
0.000503114345286851,0.003488582535994011
0.000503138192448157,0.003478189652700304
0.0005031613487735241,0.0034680552811412217
0.0005031832767753643,0.0034584248362191346
0.0005032072676685239,0.0034478586305945855
0.0005032283889156454,0.0034385242727563697
0.000503248240626368,0.0034297196650011972
0.0005032699021987304,0.0034200846581667567
0.000503293807060841,0.0034094232206536125
0.0005033175779770957,0.0033987826673757045
0.0005033404041100938,0.0033885269349553286
0.0005033635532804607,0.0033780977672018993
0.0005033873930928905,0.003367326104203595
0.000503410553379885,0.0033568223509184672
0.0005034325061208807,0.0033468355335919886
0.0005034564978871567,0.003335894490585753
0.0005034776008502581,0.003326241787149805
0.0005034974782899093,0.003317120907960852
0.0005035191412373329,0.003307155733767766
0.0005035430459141027,0.003296133892147046
0.0005035667796950479,0.0032851556520679657
0.0005035895800255582,0.003274574576262583
0.0005036127172616856,0.0032638120280781262
0.0005036365506059145,0.0032526977728016895
0.00050365972298141,0.0032418561705696448
0.0005036817170512161,0.0032315381411743916
0.0005037057101478524,0.003220258929080261
0.0005037267633803956,0.0032103358262624065
0.0005037466809212001,0.0032009219226508704
0.000503768353590077,0.0031906562064552262
0.0005037922587769096,0.003179310830475541
0.0005038159719415123,0.0031680251252365027
0.000503838719325253,0.0031571680582884584
0.0005038618398568786,0.00314611104118175
0.0005038856669019567,0.0031346917951372193
0.0005039088657443346,0.003123541674308869
0.0005039309147832036,0.003112919536565734
0.0005039549097461678,0.003101339897523186
