spins,mu,alpha,z_trap_frequency,analytical_gamma,optimum_gamma,fidelity,fidelity_lower_error,fidelity_upper_error,noiseless_fidelity,naive_fidelity,time,noiseless_time,switch_time
26,37739551.728297696,0.399673135803558,2960453.9752684766,1084.160941755875,999.9205382061645,0.9598855606100698,0.9515402793312984,0.9682308418888412,0.9729251918487992,0.9193206495552726,0.011685999999997866,0.011732000000005,0.010447870756895
28,37734689.19985627,0.3994840342808177,2781611.189932981,1063.5239948961391,987.7697427345088,0.959531282882262,0.9488640157768596,0.9701985499876643,0.9753854019752886,0.9241759239970968,0.012345999999997382,0.0124026000000069,0.0110526545850871
30,37730606.16671197,0.4020522549416869,2607183.1166638355,1046.8843856216577,977.0588781680054,0.9595636485801142,0.9469220232933108,0.9722052738669177,0.9780004635639138,0.928242540648478,0.012967999999996925,0.0130356000000086,0.011622425737772
32,37727113.59555705,0.4016491637806105,2463394.2646559505,1035.5845340555038,970.6600422726912,0.9614747604341451,0.9484829389513135,0.9744665819169768,0.9815606538085668,0.9320336313772783,0.013510999999996526,0.0135820000000101,0.0121345676775872
34,37723824.595311895,0.398293859038879,2332978.245799682,1040.2535218456724,977.7427293666944,0.9661565160344561,0.9527282972113831,0.9795847348575291,0.9855764385313692,0.9356316441109918,0.013816999999996301,0.0138860000000109,0.0124518860752647
36,37721837.44830842,0.4011172427298063,2226573.672497269,1009.4753157561282,951.58796892033,0.9647674235551467,0.9487605550733879,0.9807742920369055,0.9883186920651952,0.9384473445653356,0.014603999999995723,0.0146870000000131,0.013203541093515
38,37719439.06528497,0.3990624439501631,2117152.9013584764,1013.4402240871084,954.4795560733864,0.968654838205733,0.953984468811804,0.9833252075996619,0.9912787513849396,0.941322397063685,0.01489399999999551,0.0149722000000139,0.0135122768697117
40,37717374.22496262,0.3944948328063019,2028067.4037789672,1018.828065532872,961.3674235786424,0.9707680955715339,0.9554851697714732,0.9860510213715945,0.9938551284339016,0.9441202654913496,0.015112999999995349,0.0151950000000145,0.0137899906150829
42,37716284.27593578,0.4000053528286228,1945856.1543771385,982.9226575066588,929.9826471294432,0.9706294796184329,0.9546767928550992,0.9865821663817667,0.995152697652027,0.9459986070445876,0.016007999999995356,0.0160936000000129,0.0146467130733476
44,37714693.626258224,0.3991144028532073,1858910.6953071093,987.286553978997,937.2663729030984,0.9676770777963363,0.9479727924682168,0.9873813631244558,0.9963199503296496,0.9481382913321252,0.016209999999995558,0.0163160000000116,0.0149251254703672
46,37713520.0719781,0.3992760007579733,1788516.0156862822,977.236333882194,927.7168458870894,0.9645507890121472,0.9422202163373506,0.9868813616869437,0.996921086826651,0.9500391331401452,0.016666999999996015,0.0167864000000088,0.0154175080879768
48,37712740.56450341,0.404178912585648,1722912.6929953285,948.955627892459,903.242033930306,0.9635576033056952,0.9403623559671125,0.9867528506442779,0.9969424262288292,0.9514599154993856,0.017474999999996823,0.0176014000000039,0.0162184590191255
50,37711469.92747757,0.39859766372041,1661605.6657080948,964.9937608054208,920.9808628985496,0.9674013602731166,0.9482189548464061,0.9865837656998272,0.996607664123292,0.9534915207858612,0.017446999999996795,0.0175612000000042,0.0162777873867686
52,37710654.155606285,0.3994606368004748,1604167.1570190943,955.4797752754596,913.417463525462,0.9638385739506615,0.9433577502681906,0.9843193976331325,0.9958651968206104,0.9549561598865086,0.01789099999999724,0.0180204000000015,0.0167654435592798
